"Filename","RRT","Group","Class","MF","VOC","Mass_ng","Site","Year","Month","Sample","Plot","ID","Treatment","Tenax_tube","Depth_collar_cm","Radius_collar","Surface_area_m2","V_collar_cm3","V_chamber_cm3","V_total_cm3","Conc_ug_L","ER_ug_m2_h","Conc_blank","ER_blank","ER_final"
"1.1_c_AUG.CDF",1.869,"OVOC","oBz","","obz",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",1.877,"HC","alkane","","alkane",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",0.77,"OVOC","acid","C6H8O2","sorbic acid",0,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0,0,0,0,0
"1.1_c_AUG.CDF",0.775,"HC","Bz","C8H8","styrene",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",0.781,"HC","Bz","C8H10","o-xylene",1.863025707,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0.000929653546407186,2.13653891991025,0.000148210804391218,0.272115562787169,1.86442335712308
"1.1_c_AUG.CDF",0.797,"OVOC","ovoc","C6H14O2","2-butoxy ethanol",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",0.843,"MT","MT","C10H16","a-tricyclene",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",0.844,"HC","Bz","C9H12","(1-methylethyl)benzene",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",0.848,"MT","MT","C10H16","b-thujene",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",0.866,"MT","MT","C10H16","a-pinene",0.059745258,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,2.9813002994012e-05,0.0685165365767438,1.90906911177645e-05,0.0350505766353854,0.0334659599413583
"1.1_c_AUG.CDF",0.9,"MT","MT","C10H16","camphene",1.531759353,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0.000764350974550898,1.75663892415686,0.00037770073502994,0.693459889783108,1.06317903437375
"1.1_c_AUG.CDF",0.905,"OVOC","ovoc","","ovoc",0.004628049,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,2.30940568862275e-06,0.00530749885769114,1.11456886227545e-06,0.00204635238617672,0.00326114647151442
"1.1_c_AUG.CDF",0.911,"HC","alkane","","alkane",0.003241114,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,1.61732235528942e-06,0.00371694613705403,2.09716117764471e-06,0.00385039536391591,0
"1.1_c_AUG.CDF",0.919,"OVOC","oBz","C7H6O","benzaldehyde",19.05595983,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0.00950896199101796,21.8535899317257,0.00707793832834331,12.9951198868478,8.85847004487794
"1.1_c_AUG.CDF",0.94,"OVOC","oBz","C6H6O","phenol",2.672098171,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0.00133338232085828,3.06439235846921,0.000857828390718563,1.57497596935669,1.48941638911252
