Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
21.12_c_OCT.CDF,1.362,OVOC,oBz,C10H14O,C,12_c,2018,October,"a,a,4-trimethyl-benzenemethanol",0,7.28,12,three
2.1_c_OCT.CDF,1.277,OTHER,other,,C,1_c,2018,October,ovoc,0,7.28,1,three
19.11_n_OCT.CDF,1.764,oMT,oMT,,N,11_n,2018,October,omt,0,7.3,11,three
13.7_hxn_OCT.CDF,1.565,OVOC,ovoc,,HxN,7_hxn,2018,October,ovoc,0,7.32,7,three
21.12_c_OCT.CDF,1.277,OTHER,other,,C,12_c,2018,October,ovoc,0,7.34,12,three
9.5_h_OCT.CDF,0.911,HC,alkane,,H,5_h,2018,October,alkane,0,7.34,5,three
4.2_h_OCT.CDF,0.628,OVOC,ovoc,C7H14O,H,2_h,2018,October,1-methoxy-2-hexene,0,7.35,2,three
4.2_h_OCT.CDF,2.07,ST,ST,C15H24O,H,2_h,2018,October,ost,0,7.35,2,three
21.12_c_OCT.CDF,1.599,oMT,oMT,C10H16O,C,12_c,2018,October,omt,0,7.36,12,three
15.8_h_OCT.CDF,0.547,OVOC,ester,C6H12O2,H,8_h,2018,October,"butanoic acid, 2-methyl-, methyl ester",0,7.38,8,three
9.5_h_OCT.CDF,1.665,OTHER,other,,H,5_h,2018,October,other,0,7.39,5,three
13.7_hxn_OCT.CDF,1.365,OVOC,oBz,C9H10O,HxN,7_hxn,2018,October,1-(3-methylphenyl)-ethanone,0,7.41,7,three
21.12_c_OCT.CDF,0.911,HC,alkane,,C,12_c,2018,October,alkane,0,7.42,12,three
9.5_h_OCT.CDF,1.635,oMT,oMT,,H,5_h,2018,October,omt,0,7.43,5,three
17.9_n_OCT.CDF,0.547,OVOC,ester,C6H12O2,N,9_n,2018,October,"butanoic acid, 2-methyl-, methyl ester",0,7.43,9,three
9.5_h_OCT.CDF,1.277,OTHER,other,,H,5_h,2018,October,ovoc,0,7.44,5,three
17.9_n_OCT.CDF,1.47,oMT,oMT,C10H16O,N,9_n,2018,October,omt,0,7.46,9,three
6.3_hxn_OCT.CDF,0.628,OVOC,ovoc,C7H14O,HxN,3_hxn,2018,October,1-methoxy-2-hexene,0,7.48,3,three
23.19_c_OCT.CDF,0.628,OVOC,ovoc,C7H14O,C,19_c,2018,October,1-methoxy-2-hexene,0,7.48,19,three
15.8_h_OCT.CDF,1.764,oMT,oMT,,H,8_h,2018,October,omt,0,7.48,8,three
13.7_hxn_OCT.CDF,0.456,OVOC,ester,C5H10O2,HxN,7_hxn,2018,October,"butanoic acid, methyl ester",0,7.49,7,three
19.11_n_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,N,11_n,2018,October,"2,2-dimethoxybutane",0,7.5,11,three
11.6_n_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,N,6_n,2018,October,"2,2-dimethoxybutane",0,7.52,6,three
19.11_n_OCT.CDF,1.511,OVOC,ovoc,,N,11_n,2018,October,ovoc,0,7.53,11,three
4.2_h_OCT.CDF,1.635,oMT,oMT,,H,2_h,2018,October,omt,0,7.53,2,three
6.3_hxn_OCT.CDF,1.375,OVOC,oBz,C11H16O,HxN,3_hxn,2018,October,obz,0,7.54,3,three
11.6_n_OCT.CDF,0.628,OVOC,ovoc,C7H14O,N,6_n,2018,October,1-methoxy-2-hexene,0,7.54,6,three
4.2_h_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,H,2_h,2018,October,"2,2-dimethoxybutane",0,7.56,2,three
4.2_h_OCT.CDF,1.764,oMT,oMT,,H,2_h,2018,October,omt,0,7.57,2,three
2.1_c_OCT.CDF,1.665,OTHER,other,,C,1_c,2018,October,other,0,7.57,1,three
2.1_c_OCT.CDF,1.215,oMT,oMT,C10H16O,C,1_c,2018,October,b-thujone,0,7.58,1,three
13.7_hxn_OCT.CDF,0.547,OVOC,ester,C6H12O2,HxN,7_hxn,2018,October,"butanoic acid, 2-methyl-, methyl ester",0,7.58,7,three
9.5_h_OCT.CDF,0.905,OVOC,ovoc,,H,5_h,2018,October,ovoc,0,7.6,5,three
