Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
3.2378_191101_40_1_c.CDF,0.775,HC,Bz,C8H8,C,1_c,2019,August,styrene,0.01,7.96,1,four
7.2383_191101_45_6_n.CDF,0.268,OVOC,ovoc,C4H6O,N,6_n,2019,August,vinyl ether,0.01,7.97,6,four
44.2500_191104_50_12_c.CDF,0.547,OVOC,ester,C6H12O2,C,12_c,2019,August,"butanoic acid, 2-methyl-, methyl ester",0.01,7.98,12,four
9.2385_191101_47_8_h.CDF,0.309,OVOC,furan,C5H6O,H,8_h,2019,August,furan,0.01,7.99,8,four
48.2556_191108_42_3_hxn.CDF,1.835,ST,ST,C15H22,HxN,3_hxn,2019,August,st,0.01,7.99,3,four
7.2383_191101_45_6_n.CDF,1.852,ST,ST,C15H24,N,6_n,2019,August,st,0.01,8,6,four
8.2384_191101_46_7_hxn.CDF,0.82,OTHER,other,,HxN,7_hxn,2019,August,other,0.01,8.01,7,four
9.2385_191101_47_8_h.CDF,0.339,HC,alkane,C6H12,H,8_h,2019,August,methyl cyclopentane,0.01,8.01,8,four
6.2382_191101_44_5_h.CDF,1.059,MT,MT,C10H16,H,5_h,2019,August,d-limonene,0.01,8.01,5,four
9.2385_191101_47_8_h.CDF,1.139,OVOC,oBz,C8H8O,H,8_h,2019,August,4-methyl-benzaldehyde,0.01,8.02,8,four
44.2500_191104_50_12_c.CDF,1.168,OVOC,oBz,C9H12O,C,12_c,2019,August,"a,a-dimethyl-benzenemethanol",0.01,8.04,12,four
6.2382_191101_44_5_h.CDF,0.797,OVOC,ovoc,C7H12O,H,5_h,2019,August,ovoc,0.01,8.05,5,four
48.2556_191108_42_3_hxn.CDF,1.067,oMT,oMT,C10H18O,HxN,3_hxn,2019,August,eucalyptol,0.01,8.07,3,four
6.2382_191101_44_5_h.CDF,0.918,HC,alkane,C10H20,H,5_h,2019,August,alkane,0.01,8.07,5,four
4.2379_191101_41_2_h.CDF,0.845,OTHER,other,,H,2_h,2019,August,other,0.01,8.08,2,four
7.2383_191101_45_6_n.CDF,0.471,HC,alkene,C8H16,N,6_n,2019,August,"3,4,4-trimethyl-2-pentene",0.01,8.09,6,four
3.2378_191101_40_1_c.CDF,0.313,OVOC,furan,C5H6O,C,1_c,2019,August,2-methylfuran,0.01,8.12,1,four
7.2383_191101_45_6_n.CDF,0.715,HC,Bz,C8H10,N,6_n,2019,August,ethylbenzene,0.01,8.13,6,four
4.2379_191101_41_2_h.CDF,0.715,HC,Bz,C8H10,H,2_h,2019,August,ethylbenzene,0.01,8.14,2,four
7.2383_191101_45_6_n.CDF,0.44,OTHER,other,,N,6_n,2019,August,other,0.01,8.15,6,four
48.2556_191108_42_3_hxn.CDF,0.492,OVOC,ketone,C6H12O,HxN,3_hxn,2019,August,methyl isobutyl ketone,0.01,8.15,3,four
8.2384_191101_46_7_hxn.CDF,1.059,MT,MT,C10H16,HxN,7_hxn,2019,August,d-limonene,0.01,8.16,7,four
8.2384_191101_46_7_hxn.CDF,0.715,HC,Bz,C8H10,HxN,7_hxn,2019,August,ethylbenzene,0.02,8.18,7,four
3.2378_191101_40_1_c.CDF,0.879,HC,alkane,C10H22,C,1_c,2019,August,3-ethyl-2-methyl-heptane,0.02,8.21,1,four
8.2384_191101_46_7_hxn.CDF,0.797,OVOC,ovoc,C7H12O,HxN,7_hxn,2019,August,ovoc,0.02,8.23,7,four
5.2381_191101_43_4_hxn.CDF,0.797,OVOC,ovoc,C7H12O,HxN,4_hxn,2019,August,ovoc,0.02,8.23,4,four
6.2382_191101_44_5_h.CDF,0.962,HC,Bz,C9H10,H,5_h,2019,August,a-methylstyrene,0.02,8.23,5,four
7.2383_191101_45_6_n.CDF,0.82,OTHER,other,,N,6_n,2019,August,other,0.02,8.24,6,four
48.2556_191108_42_3_hxn.CDF,0.338,OVOC,ester,C4H8O2,HxN,3_hxn,2019,August,methyl propionate,0.02,8.24,3,four
44.2500_191104_50_12_c.CDF,0.708,HC,alkene,C9H18,C,12_c,2019,August,"1,2,4-trimethyl-cyclohexane",0.02,8.24,12,four
44.2500_191104_50_12_c.CDF,1.009,MT,MT,C10H16,C,12_c,2019,August,a-phellandrene,0.02,8.24,12,four
3.2378_191101_40_1_c.CDF,0.466,HC,alkane,C7H14,C,1_c,2019,August,methyl cyclohexane,0.02,8.25,1,four
9.2385_191101_47_8_h.CDF,0.797,OVOC,ovoc,C7H12O,H,8_h,2019,August,ovoc,0.02,8.25,8,four
8.2384_191101_46_7_hxn.CDF,0.918,HC,alkane,C10H20,HxN,7_hxn,2019,August,alkane,0.02,8.25,7,four
7.2383_191101_45_6_n.CDF,1.19,oMT,oMT,C10H18O,N,6_n,2019,August,linalool,0.02,8.26,6,four
6.2382_191101_44_5_h.CDF,0.581,OTHER,other,,H,5_h,2019,August,other,0.02,8.27,5,four
7.2383_191101_45_6_n.CDF,1.067,oMT,oMT,C10H18O,N,6_n,2019,August,eucalyptol,0.02,8.27,6,four
6.2382_191101_44_5_h.CDF,0.866,MT,MT,C10H16,H,5_h,2019,August,a-pinene,0.02,8.27,5,four
6.2382_191101_44_5_h.CDF,0.775,HC,Bz,C8H8,H,5_h,2019,August,styrene,0.02,8.27,5,four
4.2379_191101_41_2_h.CDF,1.507,OTHER,nitro,C8H7N,H,2_h,2019,August,indole,0.02,8.28,2,four
9.2385_191101_47_8_h.CDF,0.268,OVOC,ovoc,C4H6O,H,8_h,2019,August,vinyl ether,0.02,8.29,8,four
48.2556_191108_42_3_hxn.CDF,1.022,MT,MT,C10H16,HxN,3_hxn,2019,August,3-carene,0.02,8.3,3,four
9.2385_191101_47_8_h.CDF,1.175,HC,alkane,C13H28,H,8_h,2019,August,alkane,0.02,8.32,8,four
7.2383_191101_45_6_n.CDF,0.466,HC,alkane,C7H14,N,6_n,2019,August,methyl cyclohexane,0.02,8.32,6,four
44.2500_191104_50_12_c.CDF,0.402,OVOC,ester,C5H10O2,C,12_c,2019,August,methyl isobutyrate,0.02,8.32,12,four
4.2379_191101_41_2_h.CDF,0.843,MT,MT,C10H16,H,2_h,2019,August,a-tricyclene,0.02,8.32,2,four
44.2500_191104_50_12_c.CDF,0.366,OVOC,ketone,C5H10O,C,12_c,2019,August,3-methyl-2-butanone,0.02,8.34,12,four
44.2500_191104_50_12_c.CDF,1.062,OVOC,oBz,C7H8O,C,12_c,2019,August,benzyl alcohol,0.02,8.35,12,four
4.2379_191101_41_2_h.CDF,0.395,OTHER,other,,H,2_h,2019,August,other,0.02,8.38,2,four
8.2384_191101_46_7_hxn.CDF,0.306,HC,alkane,C6H14,HxN,7_hxn,2019,August,hexane,0.02,8.39,7,four
48.2556_191108_42_3_hxn.CDF,0.547,OVOC,ester,C6H12O2,HxN,3_hxn,2019,August,"butanoic acid, 2-methyl-, methyl ester",0.02,8.39,3,four
3.2378_191101_40_1_c.CDF,0.797,OVOC,ovoc,C7H12O,C,1_c,2019,August,ovoc,0.03,8.4,1,four
8.2384_191101_46_7_hxn.CDF,0.536,HC,alkane,C8H18,HxN,7_hxn,2019,August,2-methyl-heptane,0.03,8.4,7,four
44.2500_191104_50_12_c.CDF,0.818,HC,alkane,C9H18,C,12_c,2019,August,alkane,0.03,8.4,12,four
48.2556_191108_42_3_hxn.CDF,0.44,OTHER,other,C8H16,HxN,3_hxn,2019,August,"2,4,4-trimethyl-1-pentene",0.03,8.41,3,four
48.2556_191108_42_3_hxn.CDF,1.507,OTHER,nitro,C8H7N,HxN,3_hxn,2019,August,indole,0.03,8.41,3,four
7.2383_191101_45_6_n.CDF,0.366,OVOC,ketone,C5H10O,N,6_n,2019,August,3-methyl-2-butanone,0.03,8.41,6,four
3.2378_191101_40_1_c.CDF,0.395,OTHER,other,,C,1_c,2019,August,other,0.03,8.42,1,four
4.2379_191101_41_2_h.CDF,0.313,OVOC,furan,C5H6O,H,2_h,2019,August,2-methylfuran,0.03,8.44,2,four
3.2378_191101_40_1_c.CDF,0.389,HC,alkane,C7H16,C,1_c,2019,August,3-methyl-hexane,0.03,8.44,1,four
4.2379_191101_41_2_h.CDF,0.377,HC,Bz,C6H6,H,2_h,2019,August,benzene,0.03,8.45,2,four
44.2500_191104_50_12_c.CDF,0.636,HC,alkene,C8H14,C,12_c,2019,August,"1,3-octadiene",0.03,8.45,12,four
3.2378_191101_40_1_c.CDF,0.732,HC,Bz,C8H10,C,1_c,2019,August,p-xylene,0.03,8.45,1,four
9.2385_191101_47_8_h.CDF,0.715,HC,Bz,C8H10,H,8_h,2019,August,ethylbenzene,0.03,8.46,8,four
9.2385_191101_47_8_h.CDF,0.82,OTHER,other,,H,8_h,2019,August,other,0.03,8.48,8,four
8.2384_191101_46_7_hxn.CDF,0.879,HC,alkane,C10H22,HxN,7_hxn,2019,August,3-ethyl-2-methyl-heptane,0.03,8.48,7,four
48.2556_191108_42_3_hxn.CDF,1.133,OVOC,oBz,C8H8O,HxN,3_hxn,2019,August,acetophenone,0.03,8.49,3,four
44.2500_191104_50_12_c.CDF,0.958,MT,MT,C10H16,C,12_c,2019,August,b-pinene,0.03,8.49,12,four
8.2384_191101_46_7_hxn.CDF,0.389,HC,alkane,C7H16,HxN,7_hxn,2019,August,3-methyl-hexane,0.03,8.49,7,four
