"RRT"	"Group"	"Class"	"Exclude"	"MF"	"VOC"	"X10.11_n_JUN.CDF"	"X1.1_c_JUN.CDF"	"X2.2_h_JUN.CDF"	"X3.3_hxn_JUN.CDF"	"X4.4_hxn_JUN.CDF"	"X5.5_h_JUN.CDF"	"X6.6_n_JUN.CDF"	"X7.7_hxn_JUN.CDF"	"X8.8_h_JUN.CDF"	"X9.9_n_JUN.CDF"	"X11.12_c_JUN.CDF"	"X12.19_c_JUN.CDF"	"X13.Blank_JUN.CDF"	"X1.1_c_AUG.CDF"	"X2.1_c_OCT.CDF"	"X3.2_h_AUG.CDF"	"X4.2_h_OCT.CDF"	"X5.3_hxn_AUG.CDF"	"X6.3_hxn_OCT.CDF"	"X8.5_h_AUG.CDF"	"X9.5_h_OCT.CDF"	"X10.6_n_AUG.CDF"	"X11.6_n_OCT.CDF"	"X12.7_hxn_AUG.CDF"	"X13.7_hxn_OCT.CDF"	"X14.8_h_AUG.CDF"	"X15.8_h_OCT.CDF"	"X16.9_n_AUG.CDF"	"X17.9_n_OCT.CDF"	"X18.11_n_AUG.CDF"	"X19.11_n_OCT.CDF"	"X20.12_c_AUG.CDF"	"X21.12_c_OCT.CDF"	"X22.19_c_AUG.CDF"	"X23.19_c_OCT.CDF"	"X24.Blank_AUG.CDF"	"X25.Blank_OCT.CDF"	"X7.4_hxn_AUG.CDF"	"Year"
1.664	"OVOC"	"furan"	""	"C8H6O2"	"1(3h)-isobenzofuranone"	0.986843565	0.951100214	1.747489292	0.681492177	0.76455554	0.942703923	2.110813146	1.909118949	2.204876872	1.513899721	2.989274804	0.939208153	1.235458468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.665	"OTHER"	"other"	""	""	"other"	0.00292181	0	0	0	0	0	0	0	0.00345928	0.00034225	0.002400976	0.00241274	0	0.007801607	0.004057101	0.001185137	0.005928708	0.031105704	0.018313037	0.005346231	0.002904432	0.00832212	0.030379568	0.021014863	0.006654834	0.032375935	0.00990633	0.001528272	0.004917867	0.005016067	0.015909923	0	0.000208255	0.008349049	0.00196559	0.011119979	0.000999601	0.048282021	2018
1.687	"OVOC"	"aldehyde"	""	"C12H22O"	"2-butyl-2-octenal"	0.621696361	0.108069191	0.092656049	0.073989252	0.242181274	0.077049997	0.161904914	0.086843098	0.114955784	0.184937685	0.067111506	0.077981271	0.065379453	0	0	0	0	0	0	0	0	0	0.038716876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018
1.764	"oMT"	"oMT"	""	""	"omt"	0.098595562	0	0	0	0.008413707	0	0.003473374	0.008540719	0	0.001832928	0	0	0	0	0	0	0.003285495	0	0.016562617	0	0	0	0.024224452	0	0	0.001737144	0.002487549	0.000162588	0.004027741	0	0.001791297	0	0	1.46683e-05	0	0	0	0.058114073	2018
1.764	"OVOC"	"oBz"	""	""	"obz"	0.504774099	0.142847777	0.22521308	0.127025683	0.136689835	0.172856741	0.18103504	0.236041875	0.496774525	0.29847486	0.412109766	0.144430014	0.156549277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.779	"OTHER"	"other"	""	""	"other"	0.064828577	0.009730403	0.008865885	0.011087543	0.013954001	0.011652372	0.00941756	0.027162161	0.021546409	0.023492879	0.015317709	0.010441063	0.013927192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.78	"OVOC"	"ovoc"	""	"C10H16O2"	"trans-4-hydroxy-3-methyl-6-(1-methylethyl)-2-cyclohexen-1-one"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005757575	0	0	0.009085858	0	0.018893284	0	0	0	0.046038424	0.002982432	0	0.007393364	0.012738934	0	0.006910814	0	0	0	0	0	0	0.005998584	0	0.329559505	2018
1.792	"ST"	"ST"	""	"C15H24"	"b-caryophyllene"	0.419280634	0.063037094	0.092995961	0.062475606	0.138130016	0.064139878	0.098312808	0.171076415	0.023231366	0.153358066	0.086863172	0.059855295	0.062581398	0.049902623	0.061974148	0.059551581	0.116671996	0.147577603	0.211948516	0.090584211	0.07068124	0.080807399	0.246544959	0.120429973	0.055086543	0.173239718	0.135316429	0.077849446	0.138035132	0.072827474	0.119156494	0.022340016	0.020440073	0.091423031	0.050432915	0.067941366	0.028923938	0.278892669	2018
1.806	"OVOC"	"ovoc"	""	"C11H18O2"	"ester"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005593199	0	0.179949159	2018
1.812	"OVOC"	"ketone"	""	"C13H22O"	"6,10-dimethyl-5,9-undecadien-2-one"	6.959886275	0.560493412	1.414929645	1.227217892	3.564584515	1.356524686	2.687098649	0.753851549	0.526343998	1.74814068	0.421917088	0.67894051	0.246555336	0.101843232	0.209881538	0.064437203	0.314063211	0.36878348	0.391484157	0.14208995	0.193495666	0.187018995	0.429340518	0.338067785	0.216642802	2.495953502	0.294162032	0.858184566	0.17459115	0.202525336	0.302447195	0.057059396	0.076370017	0.214261101	0.094005885	0.097761907	0.087865109	0.175427606	2018
1.818	"ST"	"ST"	""	"C15H24"	"st"	0.558729625	0.051132208	0.09504275	0.082084687	0.175731412	0.073699569	0.123162352	0.103265958	0.107835467	0.128588266	0.090832878	0.065458407	0.059590127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
